pt,eta,efficiency
"[0, 80)","[0, 0.096)",0.7449409780775716
"[0, 80)","[0.096, 0.192)",0.786472371967655
"[0, 80)","[0.192, 0.288)",0.7673227555734083
"[0, 80)","[0.288, 0.384)",0.7474150664697193
"[0, 80)","[0.384, 0.48)",0.6853932584269663
"[0, 80)","[0.48, 0.576)",0.6868131868131868
"[0, 80)","[0.576, 0.672)",0.7073170731707317
"[0, 80)","[0.672, 0.768)",0.6923076923076923
"[0, 80)","[0.768, 0.864)",0.4444444444444444
"[0, 80)","[0.864, 0.96)",0.6666666666666666
"[0, 80)","[0.96, 1.056)",1.0
"[0, 80)","[1.056, 1.152)",0.0
"[0, 80)","[1.152, 1.248)",1.0
"[0, 80)","[1.248, 1.344)",1.0
"[0, 80)","[1.344, 1.44)",0.0
"[0, 80)","[1.44, 1.536)",0.0
"[0, 80)","[1.536, 1.632)",0.0
"[0, 80)","[1.632, 1.728)",0.0
"[0, 80)","[1.728, 1.824)",0.0
"[0, 80)","[1.824, 1.92)",0.0
"[0, 80)","[1.92, 2.016)",0.0
"[0, 80)","[2.016, 2.112)",0.0
"[0, 80)","[2.112, 2.208)",0.0
"[0, 80)","[2.208, 2.304)",0.0
"[0, 80)","[2.304, 2.4)",0.0
"[80, 160)","[0, 0.096)",0.739689578713969
"[80, 160)","[0.096, 0.192)",0.7940801224802245
"[80, 160)","[0.192, 0.288)",0.7755956534742299
"[80, 160)","[0.288, 0.384)",0.7605129734566061
"[80, 160)","[0.384, 0.48)",0.7188328912466844
"[80, 160)","[0.48, 0.576)",0.6704545454545454
"[80, 160)","[0.576, 0.672)",0.5555555555555556
"[80, 160)","[0.672, 0.768)",0.6956521739130435
"[80, 160)","[0.768, 0.864)",0.6666666666666666
"[80, 160)","[0.864, 0.96)",1.0
"[80, 160)","[0.96, 1.056)",1.0
"[80, 160)","[1.056, 1.152)",0.0
"[80, 160)","[1.152, 1.248)",0.0
"[80, 160)","[1.248, 1.344)",0.0
"[80, 160)","[1.344, 1.44)",0.0
"[80, 160)","[1.44, 1.536)",0.0
"[80, 160)","[1.536, 1.632)",0.0
"[80, 160)","[1.632, 1.728)",0.0
"[80, 160)","[1.728, 1.824)",0.0
"[80, 160)","[1.824, 1.92)",0.0
"[80, 160)","[1.92, 2.016)",0.0
"[80, 160)","[2.016, 2.112)",0.0
"[80, 160)","[2.112, 2.208)",0.0
"[80, 160)","[2.208, 2.304)",0.0
"[80, 160)","[2.304, 2.4)",0.0
"[160, 240)","[0, 0.096)",0.7534246575342466
"[160, 240)","[0.096, 0.192)",0.7920520726276122
"[160, 240)","[0.192, 0.288)",0.7797383632491633
"[160, 240)","[0.288, 0.384)",0.7595579450418161
"[160, 240)","[0.384, 0.48)",0.7035573122529645
"[160, 240)","[0.48, 0.576)",0.7307692307692307
"[160, 240)","[0.576, 0.672)",0.6666666666666666
"[160, 240)","[0.672, 0.768)",0.4117647058823529
"[160, 240)","[0.768, 0.864)",0.6
"[160, 240)","[0.864, 0.96)",-1.0
"[160, 240)","[0.96, 1.056)",0.0
"[160, 240)","[1.056, 1.152)",0.5
"[160, 240)","[1.152, 1.248)",0.0
"[160, 240)","[1.248, 1.344)",0.0
"[160, 240)","[1.344, 1.44)",0.0
"[160, 240)","[1.44, 1.536)",0.0
"[160, 240)","[1.536, 1.632)",0.0
"[160, 240)","[1.632, 1.728)",0.0
"[160, 240)","[1.728, 1.824)",0.0
"[160, 240)","[1.824, 1.92)",0.0
"[160, 240)","[1.92, 2.016)",0.0
"[160, 240)","[2.016, 2.112)",0.0
"[160, 240)","[2.112, 2.208)",0.0
"[160, 240)","[2.208, 2.304)",0.0
"[160, 240)","[2.304, 2.4)",0.0
"[240, 320)","[0, 0.096)",0.7384751773049646
"[240, 320)","[0.096, 0.192)",0.7986745477341931
"[240, 320)","[0.192, 0.288)",0.7851002865329513
"[240, 320)","[0.288, 0.384)",0.7643625192012289
"[240, 320)","[0.384, 0.48)",0.6754002911208151
"[240, 320)","[0.48, 0.576)",0.7747252747252747
"[240, 320)","[0.576, 0.672)",0.8333333333333334
"[240, 320)","[0.672, 0.768)",0.7
"[240, 320)","[0.768, 0.864)",0.75
"[240, 320)","[0.864, 0.96)",-1.7976931348623157e+308
"[240, 320)","[0.96, 1.056)",1.0
"[240, 320)","[1.056, 1.152)",1.0
"[240, 320)","[1.152, 1.248)",0.0
"[240, 320)","[1.248, 1.344)",0.0
"[240, 320)","[1.344, 1.44)",0.0
"[240, 320)","[1.44, 1.536)",0.0
"[240, 320)","[1.536, 1.632)",0.0
"[240, 320)","[1.632, 1.728)",0.0
"[240, 320)","[1.728, 1.824)",0.0
"[240, 320)","[1.824, 1.92)",0.0
"[240, 320)","[1.92, 2.016)",0.0
"[240, 320)","[2.016, 2.112)",0.0
"[240, 320)","[2.112, 2.208)",0.0
"[240, 320)","[2.208, 2.304)",0.0
"[240, 320)","[2.304, 2.4)",0.0
"[320, 400)","[0, 0.096)",0.7409972299168975
"[320, 400)","[0.096, 0.192)",0.8063348416289593
"[320, 400)","[0.192, 0.288)",0.7885346283783784
"[320, 400)","[0.288, 0.384)",0.7645761109360227
"[320, 400)","[0.384, 0.48)",0.7145214521452146
"[320, 400)","[0.48, 0.576)",0.7348066298342542
"[320, 400)","[0.576, 0.672)",0.6666666666666666
"[320, 400)","[0.672, 0.768)",0.3333333333333333
"[320, 400)","[0.768, 0.864)",1.0
"[320, 400)","[0.864, 0.96)",0.5
"[320, 400)","[0.96, 1.056)",1.0
"[320, 400)","[1.056, 1.152)",-0.0
"[320, 400)","[1.152, 1.248)",1.0
"[320, 400)","[1.248, 1.344)",0.0
"[320, 400)","[1.344, 1.44)",0.0
"[320, 400)","[1.44, 1.536)",0.0
"[320, 400)","[1.536, 1.632)",0.0
"[320, 400)","[1.632, 1.728)",0.0
"[320, 400)","[1.728, 1.824)",0.0
"[320, 400)","[1.824, 1.92)",0.0
"[320, 400)","[1.92, 2.016)",0.0
"[320, 400)","[2.016, 2.112)",0.0
"[320, 400)","[2.112, 2.208)",0.0
"[320, 400)","[2.208, 2.304)",0.0
"[320, 400)","[2.304, 2.4)",0.0
"[400, 480)","[0, 0.096)",0.7497603068072867
"[400, 480)","[0.096, 0.192)",0.8014525561214865
"[400, 480)","[0.192, 0.288)",0.7888171572382099
"[400, 480)","[0.288, 0.384)",0.7728813559322034
"[400, 480)","[0.384, 0.48)",0.7363494539781591
"[400, 480)","[0.48, 0.576)",0.6571428571428571
"[400, 480)","[0.576, 0.672)",0.6818181818181818
"[400, 480)","[0.672, 0.768)",0.4166666666666667
"[400, 480)","[0.768, 0.864)",0.75
"[400, 480)","[0.864, 0.96)",0.5
"[400, 480)","[0.96, 1.056)",0.0
"[400, 480)","[1.056, 1.152)",0.0
"[400, 480)","[1.152, 1.248)",1.0
"[400, 480)","[1.248, 1.344)",1.0
"[400, 480)","[1.344, 1.44)",0.0
"[400, 480)","[1.44, 1.536)",0.0
"[400, 480)","[1.536, 1.632)",0.0
"[400, 480)","[1.632, 1.728)",0.0
"[400, 480)","[1.728, 1.824)",0.0
"[400, 480)","[1.824, 1.92)",0.0
"[400, 480)","[1.92, 2.016)",0.0
"[400, 480)","[2.016, 2.112)",0.0
"[400, 480)","[2.112, 2.208)",0.0
"[400, 480)","[2.208, 2.304)",0.0
"[400, 480)","[2.304, 2.4)",0.0
"[480, 560)","[0, 0.096)",0.7417932386085252
"[480, 560)","[0.096, 0.192)",0.7998245785011208
"[480, 560)","[0.192, 0.288)",0.7890401555886054
"[480, 560)","[0.288, 0.384)",0.755461592670895
"[480, 560)","[0.384, 0.48)",0.7323481116584565
"[480, 560)","[0.48, 0.576)",0.6564885496183206
"[480, 560)","[0.576, 0.672)",0.6304347826086957
"[480, 560)","[0.672, 0.768)",0.6
"[480, 560)","[0.768, 0.864)",0.0
"[480, 560)","[0.864, 0.96)",0.5
"[480, 560)","[0.96, 1.056)",0.6666666666666666
"[480, 560)","[1.056, 1.152)",0.0
"[480, 560)","[1.152, 1.248)",0.0
"[480, 560)","[1.248, 1.344)",0.0
"[480, 560)","[1.344, 1.44)",0.0
"[480, 560)","[1.44, 1.536)",0.0
"[480, 560)","[1.536, 1.632)",0.0
"[480, 560)","[1.632, 1.728)",0.0
"[480, 560)","[1.728, 1.824)",0.0
"[480, 560)","[1.824, 1.92)",0.0
"[480, 560)","[1.92, 2.016)",0.0
"[480, 560)","[2.016, 2.112)",0.0
"[480, 560)","[2.112, 2.208)",0.0
"[480, 560)","[2.208, 2.304)",0.0
"[480, 560)","[2.304, 2.4)",0.0
"[560, 640)","[0, 0.096)",0.7413612565445026
"[560, 640)","[0.096, 0.192)",0.8008518595470601
"[560, 640)","[0.192, 0.288)",0.7851543361097502
"[560, 640)","[0.288, 0.384)",0.7689681335356601
"[560, 640)","[0.384, 0.48)",0.7179023508137432
"[560, 640)","[0.48, 0.576)",0.6694915254237288
"[560, 640)","[0.576, 0.672)",0.8
"[560, 640)","[0.672, 0.768)",0.5
"[560, 640)","[0.768, 0.864)",1.0
"[560, 640)","[0.864, 0.96)",0.0
"[560, 640)","[0.96, 1.056)",0.0
"[560, 640)","[1.056, 1.152)",0.0
"[560, 640)","[1.152, 1.248)",0.0
"[560, 640)","[1.248, 1.344)",0.0
"[560, 640)","[1.344, 1.44)",0.0
"[560, 640)","[1.44, 1.536)",0.0
"[560, 640)","[1.536, 1.632)",0.0
"[560, 640)","[1.632, 1.728)",0.0
"[560, 640)","[1.728, 1.824)",0.0
"[560, 640)","[1.824, 1.92)",0.0
"[560, 640)","[1.92, 2.016)",0.0
"[560, 640)","[2.016, 2.112)",0.0
"[560, 640)","[2.112, 2.208)",0.0
"[560, 640)","[2.208, 2.304)",0.0
"[560, 640)","[2.304, 2.4)",0.0
"[640, 720)","[0, 0.096)",0.7285954113038612
"[640, 720)","[0.096, 0.192)",0.8029107876902566
"[640, 720)","[0.192, 0.288)",0.7807275047862157
"[640, 720)","[0.288, 0.384)",0.7478122513922036
"[640, 720)","[0.384, 0.48)",0.7322834645669292
"[640, 720)","[0.48, 0.576)",0.696078431372549
"[640, 720)","[0.576, 0.672)",0.5416666666666666
"[640, 720)","[0.672, 0.768)",0.46153846153846156
"[640, 720)","[0.768, 0.864)",0.25
"[640, 720)","[0.864, 0.96)",0.0
"[640, 720)","[0.96, 1.056)",1.0
"[640, 720)","[1.056, 1.152)",0.0
"[640, 720)","[1.152, 1.248)",0.0
"[640, 720)","[1.248, 1.344)",0.0
"[640, 720)","[1.344, 1.44)",0.0
"[640, 720)","[1.44, 1.536)",0.0
"[640, 720)","[1.536, 1.632)",0.0
"[640, 720)","[1.632, 1.728)",0.0
"[640, 720)","[1.728, 1.824)",0.0
"[640, 720)","[1.824, 1.92)",0.0
"[640, 720)","[1.92, 2.016)",0.0
"[640, 720)","[2.016, 2.112)",0.0
"[640, 720)","[2.112, 2.208)",0.0
