pt,eta,efficiency
"[320, 400)","[2.112, 2.208)",0.0
"[320, 400)","[2.208, 2.304)",0.0
"[320, 400)","[2.304, 2.4)",0.0
"[400, 480)","[0, 0.096)",0.7368421052631579
"[400, 480)","[0.096, 0.192)",0.8217821782178217
"[400, 480)","[0.192, 0.288)",0.7517241379310344
"[400, 480)","[0.288, 0.384)",0.7
"[400, 480)","[0.384, 0.48)",1.0
"[400, 480)","[0.48, 0.576)",0.0
"[400, 480)","[0.576, 0.672)",0.0
"[400, 480)","[0.672, 0.768)",0.0
"[400, 480)","[0.768, 0.864)",0.0
"[400, 480)","[0.864, 0.96)",0.0
"[400, 480)","[0.96, 1.056)",0.0
"[400, 480)","[1.056, 1.152)",0.0
"[400, 480)","[1.152, 1.248)",0.0
"[400, 480)","[1.248, 1.344)",0.0
"[400, 480)","[1.344, 1.44)",0.0
"[400, 480)","[1.44, 1.536)",0.0
"[400, 480)","[1.536, 1.632)",0.0
"[400, 480)","[1.632, 1.728)",0.0
"[400, 480)","[1.728, 1.824)",0.0
"[400, 480)","[1.824, 1.92)",0.0
"[400, 480)","[1.92, 2.016)",0.0
"[400, 480)","[2.016, 2.112)",0.0
"[400, 480)","[2.112, 2.208)",0.0
"[400, 480)","[2.208, 2.304)",0.0
"[400, 480)","[2.304, 2.4)",0.0
"[480, 560)","[0, 0.096)",0.7560975609756098
"[480, 560)","[0.096, 0.192)",0.8333333333333334
"[480, 560)","[0.192, 0.288)",0.8228571428571428
"[480, 560)","[0.288, 0.384)",0.5833333333333334
"[480, 560)","[0.384, 0.48)",0.0
"[480, 560)","[0.48, 0.576)",0.0
"[480, 560)","[0.576, 0.672)",0.0
"[480, 560)","[0.672, 0.768)",0.0
"[480, 560)","[0.768, 0.864)",0.0
"[480, 560)","[0.864, 0.96)",0.0
"[480, 560)","[0.96, 1.056)",0.0
"[480, 560)","[1.056, 1.152)",0.0
"[480, 560)","[1.152, 1.248)",0.0
"[480, 560)","[1.248, 1.344)",0.0
"[480, 560)","[1.344, 1.44)",0.0
"[480, 560)","[1.44, 1.536)",0.0
"[480, 560)","[1.536, 1.632)",0.0
"[480, 560)","[1.632, 1.728)",0.0
"[480, 560)","[1.728, 1.824)",0.0
"[480, 560)","[1.824, 1.92)",0.0
