,jetp bins,at0bcen,at0bfwd,at1bcen,at1bfwd,at2bcen,at2bfwd,pret0bcen,pret0bfwd,pret1bcen,pret1bfwd,pret2bcen,pret2bfwd,2t0bcen,2t0bfwd,2t1bcen,2t1bfwd,2t2bcen,2t2bfwd
0,400.0,0.037672655870766784,0.03802550085429403,0.14431300054303112,0.15151272756882167,0.21474728846330873,0.30281438105157976,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,500.0,0.04520849256019889,0.044745171678699194,0.15128394627289948,0.15615118969368083,0.22374261411420748,0.22348761157336902,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,600.0,0.05963283764641904,0.05674158850300843,0.16189720537241828,0.16405632753168953,0.24748684162097,0.23819397119119867,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3,800.0,0.07026867475571752,0.06590395198764401,0.16547246433929713,0.1625469093293598,0.2544994100075767,0.23651074216865633,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4,1000.0,0.0814734501363722,0.07628626045533086,0.17273503147220798,0.16264411706132698,0.2573181490986707,0.22602984974348997,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5,1500.0,0.09927565034380603,0.09372940148187571,0.18712101779754597,0.1768307482675734,0.28270739183137167,0.2318255413522475,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6,2000.0,0.11237028322984609,0.11026315275756282,0.18334263457174346,0.18142969519642269,0.2814324218920134,0.26978771488027564,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7,3000.0,0.11725003261512677,0.13134710972437286,0.2075198030475103,0.187699483423463,-0.009409572263131907,0.3441189170983184,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8,7000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
