,jetp bins,at0bcen,at0bfwd,at1bcen,at1bfwd,at2bcen,at2bfwd,pret0bcen,pret0bfwd,pret1bcen,pret1bfwd,pret2bcen,pret2bfwd,2t0bcen,2t0bfwd,2t1bcen,2t1bfwd,2t2bcen,2t2bfwd
0,400.0,0.035794045350434074,0.03496106499020474,0.11790213280386573,0.11687976662164552,0.18629563156926424,0.18467058427959634,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,500.0,0.03880844830790149,0.03792276957361754,0.11577108448369267,0.11530264034415594,0.19116145326382167,0.18745304293102846,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,600.0,0.04637374209414016,0.044159927806719255,0.12422817118355463,0.12219527303571366,0.20730117006791016,0.19577955186973506,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3,800.0,0.05438216287697769,0.05036287824287005,0.13167915453390766,0.12477046663103616,0.20329827799819192,0.1850514053884299,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4,1000.0,0.06289117107950103,0.058364246729994844,0.13624949032720635,0.12739525346678424,0.2041586522135409,0.18741773384031196,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5,1500.0,0.07547447232108172,0.07075028868777172,0.14380028889960797,0.13832063402161776,0.22113672332376672,0.2010525318537375,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6,2000.0,0.08718559405480748,0.08917598301348584,0.14553224325658762,0.14911046288581867,0.23141203684685088,0.2204283508000649,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7,3000.0,0.11076128149301784,0.11775630845497279,0.1766249107492671,0.1590934711341552,0.33068163054579747,0.22466036577168677,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8,7000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
