pt,eta,efficiency
"[0, 300)","[0, 0.6)",0.06491092176607281
"[0, 300)","[0.6, 1.2)",0.09813084112149532
"[0, 300)","[1.2, 2.4)",0.14953271028037382
"[300, 600)","[0, 0.6)",0.07664543524416136
"[300, 600)","[0.6, 1.2)",0.1020746887966805
"[300, 600)","[1.2, 2.4)",0.16230366492146597
"[600, 1200)","[0, 0.6)",0.10120845921450151
"[600, 1200)","[0.6, 1.2)",0.16075156576200417
"[600, 1200)","[1.2, 2.4)",0.23076923076923078
