pt,eta,efficiency
"[0, 300)","[0, 0.6)",0.5809018567639257
"[0, 300)","[0.6, 1.2)",0.6943282583235737
"[0, 300)","[1.2, 2.4)",0.7844953681131156
"[300, 600)","[0, 0.6)",0.6622340425531915
"[300, 600)","[0.6, 1.2)",0.7069361506660542
"[300, 600)","[1.2, 2.4)",0.7933606863110779
"[600, 1200)","[0, 0.6)",0.7102473498233216
"[600, 1200)","[0.6, 1.2)",0.8263288009888752
"[600, 1200)","[1.2, 2.4)",0.8888888888888888
