pt,eta,efficiency
"[400, 480)","[1.632, 1.728)",0.0
"[400, 480)","[1.728, 1.824)",0.0
"[400, 480)","[1.824, 1.92)",0.0
"[400, 480)","[1.92, 2.016)",0.0
"[400, 480)","[2.016, 2.112)",0.0
"[400, 480)","[2.112, 2.208)",0.0
"[400, 480)","[2.208, 2.304)",0.0
"[400, 480)","[2.304, 2.4)",0.0
"[480, 560)","[0, 0.096)",0.2727272727272727
"[480, 560)","[0.096, 0.192)",0.3076923076923077
"[480, 560)","[0.192, 0.288)",0.27586206896551724
"[480, 560)","[0.288, 0.384)",0.4
"[480, 560)","[0.384, 0.48)",0.0
"[480, 560)","[0.48, 0.576)",0.0
"[480, 560)","[0.576, 0.672)",0.0
"[480, 560)","[0.672, 0.768)",0.0
"[480, 560)","[0.768, 0.864)",0.0
"[480, 560)","[0.864, 0.96)",0.0
"[480, 560)","[0.96, 1.056)",0.0
"[480, 560)","[1.056, 1.152)",0.0
"[480, 560)","[1.152, 1.248)",0.0
"[480, 560)","[1.248, 1.344)",0.0
"[480, 560)","[1.344, 1.44)",0.0
"[480, 560)","[1.44, 1.536)",0.0
"[480, 560)","[1.536, 1.632)",0.0
"[480, 560)","[1.632, 1.728)",0.0
"[480, 560)","[1.728, 1.824)",0.0
"[480, 560)","[1.824, 1.92)",0.0
"[480, 560)","[1.92, 2.016)",0.0
"[480, 560)","[2.016, 2.112)",0.0
"[480, 560)","[2.112, 2.208)",0.0
"[480, 560)","[2.208, 2.304)",0.0
"[480, 560)","[2.304, 2.4)",0.0
"[560, 640)","[0, 0.096)",0.18181818181818182
"[560, 640)","[0.096, 0.192)",0.4387755102040816
"[560, 640)","[0.192, 0.288)",0.36065573770491804
"[560, 640)","[0.288, 0.384)",0.3333333333333333
"[560, 640)","[0.384, 0.48)",0.0
"[560, 640)","[0.48, 0.576)",0.0
"[560, 640)","[0.576, 0.672)",0.0
"[560, 640)","[0.672, 0.768)",0.0
"[560, 640)","[0.768, 0.864)",0.0
"[560, 640)","[0.864, 0.96)",0.0
"[560, 640)","[0.96, 1.056)",0.0
"[560, 640)","[1.056, 1.152)",0.0
"[560, 640)","[1.152, 1.248)",0.0
"[560, 640)","[1.248, 1.344)",0.0
"[560, 640)","[1.344, 1.44)",0.0
"[560, 640)","[1.44, 1.536)",0.0
"[560, 640)","[1.536, 1.632)",0.0
"[560, 640)","[1.632, 1.728)",0.0
"[560, 640)","[1.728, 1.824)",0.0
"[560, 640)","[1.824, 1.92)",0.0
"[560, 640)","[1.92, 2.016)",0.0
"[560, 640)","[2.016, 2.112)",0.0
"[560, 640)","[2.112, 2.208)",0.0
"[560, 640)","[2.208, 2.304)",0.0
"[560, 640)","[2.304, 2.4)",0.0
"[640, 720)","[0, 0.096)",0.41379310344827586
"[640, 720)","[0.096, 0.192)",0.28735632183908044
"[640, 720)","[0.192, 0.288)",0.36363636363636365
"[640, 720)","[0.288, 0.384)",0.6
"[640, 720)","[0.384, 0.48)",0.0
"[640, 720)","[0.48, 0.576)",0.0
"[640, 720)","[0.576, 0.672)",0.0
"[640, 720)","[0.672, 0.768)",0.0
"[640, 720)","[0.768, 0.864)",0.0
"[640, 720)","[0.864, 0.96)",0.0
"[640, 720)","[0.96, 1.056)",0.0
"[640, 720)","[1.056, 1.152)",0.0
"[640, 720)","[1.152, 1.248)",0.0
"[640, 720)","[1.248, 1.344)",0.0
"[640, 720)","[1.344, 1.44)",0.0
"[640, 720)","[1.44, 1.536)",0.0
"[640, 720)","[1.536, 1.632)",0.0
"[640, 720)","[1.632, 1.728)",0.0
"[640, 720)","[1.728, 1.824)",0.0
"[640, 720)","[1.824, 1.92)",0.0
"[640, 720)","[1.92, 2.016)",0.0
"[640, 720)","[2.016, 2.112)",0.0
"[640, 720)","[2.112, 2.208)",0.0
"[640, 720)","[2.208, 2.304)",0.0
"[640, 720)","[2.304, 2.4)",0.0
"[720, 800)","[0, 0.096)",0.17142857142857143
"[720, 800)","[0.096, 0.192)",0.3373493975903614
"[720, 800)","[0.192, 0.288)",0.21739130434782608
"[720, 800)","[0.288, 0.384)",0.0
"[720, 800)","[0.384, 0.48)",0.0
"[720, 800)","[0.48, 0.576)",0.0
"[720, 800)","[0.576, 0.672)",0.0
"[720, 800)","[0.672, 0.768)",0.0
