pt,eta,efficiency
"[0, 300)","[0, 0.6)",0.28761038825312224
"[0, 300)","[0.6, 1.2)",0.4210679611650485
"[0, 300)","[1.2, 2.4)",0.6220078599499821
"[300, 600)","[0, 0.6)",0.3120207927225471
"[300, 600)","[0.6, 1.2)",0.425061804697157
"[300, 600)","[1.2, 2.4)",0.6371275783040489
"[600, 1200)","[0, 0.6)",0.44982187852984623
"[600, 1200)","[0.6, 1.2)",0.5588028169014084
"[600, 1200)","[1.2, 2.4)",0.6609442060085837
