,p,M(p)
0,"[400, 450)",0.07939508506616257
1,"[450, 500)",0.06949569495694957
2,"[500, 550)",0.058330647760232036
3,"[550, 600)",0.06263326226012793
4,"[600, 650)",0.05576610720086627
5,"[650, 700)",0.056592414208308246
6,"[700, 750)",0.05504587155963303
7,"[750, 800)",0.059422750424448216
8,"[800, 850)",0.046282619399310686
9,"[850, 900)",0.05110336817653891
10,"[900, 950)",0.044444444444444446
11,"[950, 1000)",0.04119547657512116
12,"[1000, 1100)",0.041103017689906346
13,"[1100, 1200)",0.047653429602888084
14,"[1200, 1300)",0.038033395176252316
15,"[1300, 1400)",0.030826140567200986
16,"[1400, 1500)",0.03431372549019608
17,"[1500, 1600)",0.027139874739039668
18,"[1600, 1700)",0.04398826979472141
19,"[1700, 1800)",0.056179775280898875
20,"[1800, 1900)",0.052132701421800945
21,"[1900, 2000)",0.027210884353741496
22,"[2000, 2500)",0.040106951871657755
23,"[2500, 3000)",0.05319148936170213
24,"[3000, 3500)",0.0
25,"[3500, 4000)",0.0
26,"[4000, 5000)",0.0
27,"[5000, 7000)",0.0
