,p,M(p)
0,"[400, 450)",0.03367003367003367
1,"[450, 500)",0.06428571428571428
2,"[500, 550)",0.06414141414141414
3,"[550, 600)",0.05933202357563851
4,"[600, 650)",0.059008654602675056
5,"[650, 700)",0.06028833551769332
6,"[700, 750)",0.05458187280921382
7,"[750, 800)",0.05812574139976275
8,"[800, 850)",0.054122089364380115
9,"[850, 900)",0.05664652567975831
10,"[900, 950)",0.05116279069767442
11,"[950, 1000)",0.04736371760500447
12,"[1000, 1100)",0.04284976768198245
13,"[1100, 1200)",0.0480295566502463
14,"[1200, 1300)",0.03602941176470588
15,"[1300, 1400)",0.03415409054805401
16,"[1400, 1500)",0.033497536945812804
17,"[1500, 1600)",0.05555555555555555
18,"[1600, 1700)",0.046153846153846156
19,"[1700, 1800)",0.04314720812182741
20,"[1800, 1900)",0.029503105590062112
21,"[1900, 2000)",0.05201342281879195
22,"[2000, 2500)",0.03502824858757062
23,"[2500, 3000)",0.052840158520475564
24,"[3000, 3500)",0.03076923076923077
25,"[3500, 4000)",0.02564102564102564
26,"[4000, 5000)",0.125
27,"[5000, 7000)",0.0
