,p,M(p)
0,"[400, 450)",0.0967741935483871
1,"[450, 500)",0.06266318537859007
2,"[500, 550)",0.11333333333333333
3,"[550, 600)",0.1018957345971564
4,"[600, 650)",0.10795454545454546
5,"[650, 700)",0.07166123778501629
6,"[700, 750)",0.08560311284046693
7,"[750, 800)",0.11214953271028037
8,"[800, 850)",0.12269938650306748
9,"[850, 900)",0.1
10,"[900, 950)",0.06206896551724138
11,"[950, 1000)",0.09615384615384616
12,"[1000, 1100)",0.09550561797752809
13,"[1100, 1200)",0.0410958904109589
14,"[1200, 1300)",0.07964601769911504
15,"[1300, 1400)",0.033707865168539325
16,"[1400, 1500)",0.1111111111111111
17,"[1500, 1600)",0.06521739130434782
18,"[1600, 1700)",0.02564102564102564
19,"[1700, 1800)",0.03225806451612903
20,"[1800, 1900)",0.14285714285714285
21,"[1900, 2000)",0.15789473684210525
22,"[2000, 2500)",0.03333333333333333
23,"[2500, 3000)",0.0
24,"[3000, 3500)",0.0
25,"[3500, 4000)",0.0
26,"[4000, 5000)",0.0
27,"[5000, 7000)",0.0
