,p,M(p)
0,"[400, 450)",0.0851063829787234
1,"[450, 500)",0.08080808080808081
2,"[500, 550)",0.09950248756218906
3,"[550, 600)",0.08015267175572519
4,"[600, 650)",0.0728744939271255
5,"[650, 700)",0.08786610878661087
6,"[700, 750)",0.08108108108108109
7,"[750, 800)",0.08588957055214724
8,"[800, 850)",0.05625
9,"[850, 900)",0.1
10,"[900, 950)",0.056910569105691054
11,"[950, 1000)",0.06756756756756757
12,"[1000, 1100)",0.057803468208092484
13,"[1100, 1200)",0.1342281879194631
14,"[1200, 1300)",0.050724637681159424
15,"[1300, 1400)",0.041666666666666664
16,"[1400, 1500)",0.10091743119266056
17,"[1500, 1600)",0.08641975308641975
18,"[1600, 1700)",0.023529411764705882
19,"[1700, 1800)",0.08
20,"[1800, 1900)",0.10714285714285714
21,"[1900, 2000)",0.07142857142857142
22,"[2000, 2500)",0.07065217391304347
23,"[2500, 3000)",0.0625
24,"[3000, 3500)",0.0
25,"[3500, 4000)",0.0
26,"[4000, 5000)",0.0
27,"[5000, 7000)",0.0
