,p,M(p)
0,"[400, 450)",0.045454545454545456
1,"[450, 500)",0.11320754716981132
2,"[500, 550)",0.09905660377358491
3,"[550, 600)",0.07958477508650519
4,"[600, 650)",0.08679245283018867
5,"[650, 700)",0.07264957264957266
6,"[700, 750)",0.08205128205128205
7,"[750, 800)",0.07027027027027027
8,"[800, 850)",0.07853403141361257
9,"[850, 900)",0.10948905109489052
10,"[900, 950)",0.051470588235294115
11,"[950, 1000)",0.09574468085106383
12,"[1000, 1100)",0.09326424870466321
13,"[1100, 1200)",0.10526315789473684
14,"[1200, 1300)",0.045112781954887216
15,"[1300, 1400)",0.08108108108108109
16,"[1400, 1500)",0.11304347826086956
17,"[1500, 1600)",0.05357142857142857
18,"[1600, 1700)",0.09523809523809523
19,"[1700, 1800)",0.07352941176470588
20,"[1800, 1900)",0.029411764705882353
21,"[1900, 2000)",0.019230769230769232
22,"[2000, 2500)",0.05
23,"[2500, 3000)",0.07042253521126761
24,"[3000, 3500)",0.05263157894736842
25,"[3500, 4000)",0.0
26,"[4000, 5000)",0.0
27,"[5000, 7000)",0.0
