,p,M(p)
0,"[400, 450)",0.07894736842105263
1,"[450, 500)",0.09495548961424333
2,"[500, 550)",0.09895833333333333
3,"[550, 600)",0.07845934379457917
4,"[600, 650)",0.0875
5,"[650, 700)",0.08703374777975133
6,"[700, 750)",0.08349900596421471
7,"[750, 800)",0.09273182957393483
8,"[800, 850)",0.11295681063122924
9,"[850, 900)",0.026923076923076925
10,"[900, 950)",0.06477732793522267
11,"[950, 1000)",0.07547169811320754
12,"[1000, 1100)",0.0916030534351145
13,"[1100, 1200)",0.044444444444444446
14,"[1200, 1300)",0.0915032679738562
15,"[1300, 1400)",0.07258064516129033
16,"[1400, 1500)",0.08602150537634409
17,"[1500, 1600)",0.07317073170731707
18,"[1600, 1700)",0.12727272727272726
19,"[1700, 1800)",0.027777777777777776
20,"[1800, 1900)",0.038461538461538464
21,"[1900, 2000)",0.08333333333333333
22,"[2000, 2500)",0.05263157894736842
23,"[2500, 3000)",0.0
24,"[3000, 3500)",0.0
25,"[3500, 4000)",0.0
26,"[4000, 5000)",0.0
27,"[5000, 7000)",0.0
