,p,M(p)
0,"[400, 450)",0.04603330068560235
1,"[450, 500)",0.0397796817625459
2,"[500, 550)",0.05018587360594796
3,"[550, 600)",0.04287454323995128
4,"[600, 650)",0.04495247880811713
5,"[650, 700)",0.042863266180882986
6,"[700, 750)",0.04029643353404354
7,"[750, 800)",0.036857245595109674
8,"[800, 850)",0.038339292808899486
9,"[850, 900)",0.03686534216335541
10,"[900, 950)",0.03419010669253152
11,"[950, 1000)",0.03480340063761955
12,"[1000, 1100)",0.02887652278538126
13,"[1100, 1200)",0.028759098171489438
14,"[1200, 1300)",0.030846774193548386
15,"[1300, 1400)",0.03206178329042827
16,"[1400, 1500)",0.03093892924401399
17,"[1500, 1600)",0.03141831238779174
18,"[1600, 1700)",0.029177718832891247
19,"[1700, 1800)",0.02865101472343812
20,"[1800, 1900)",0.02784116841624829
21,"[1900, 2000)",0.028125
22,"[2000, 2500)",0.026671168129642132
23,"[2500, 3000)",0.032904148783977114
24,"[3000, 3500)",0.024844720496894408
25,"[3500, 4000)",0.02040816326530612
26,"[4000, 5000)",0.0
27,"[5000, 7000)",0.0
