,p,M(p)
0,"[400, 450)",0.04993112947658402
1,"[450, 500)",0.043012524719841794
2,"[500, 550)",0.04456548650656103
3,"[550, 600)",0.04758230452674897
4,"[600, 650)",0.04456706281833616
5,"[650, 700)",0.041753319468884977
6,"[700, 750)",0.045616535994297935
7,"[750, 800)",0.039280828610513976
8,"[800, 850)",0.037348066298342544
9,"[850, 900)",0.03945024179180453
10,"[900, 950)",0.03545093590470788
11,"[950, 1000)",0.03457772337821297
12,"[1000, 1100)",0.03352522858110396
13,"[1100, 1200)",0.029448361675653255
14,"[1200, 1300)",0.030006978367062107
15,"[1300, 1400)",0.034133333333333335
16,"[1400, 1500)",0.03706050047513462
17,"[1500, 1600)",0.0347124824684432
18,"[1600, 1700)",0.03094112591319295
19,"[1700, 1800)",0.030042918454935622
20,"[1800, 1900)",0.03657850309510411
21,"[1900, 2000)",0.02817824377457405
22,"[2000, 2500)",0.03458038422649141
23,"[2500, 3000)",0.03984575835475578
24,"[3000, 3500)",0.02654867256637168
25,"[3500, 4000)",0.03508771929824561
26,"[4000, 5000)",0.0
27,"[5000, 7000)",0.0
