,p,M(p)
0,"[400, 450)",0.0655549166187464
1,"[450, 500)",0.061910377358490566
2,"[500, 550)",0.061553492916463115
3,"[550, 600)",0.059822361546499475
4,"[600, 650)",0.0595679012345679
5,"[650, 700)",0.048557867834976266
6,"[700, 750)",0.05442176870748299
7,"[750, 800)",0.06256410256410257
8,"[800, 850)",0.04928741092636579
9,"[850, 900)",0.060068259385665526
10,"[900, 950)",0.04978540772532189
11,"[950, 1000)",0.04709141274238227
12,"[1000, 1100)",0.04514533085961658
13,"[1100, 1200)",0.048723897911832945
14,"[1200, 1300)",0.04660587639311044
15,"[1300, 1400)",0.05103448275862069
16,"[1400, 1500)",0.03656307129798903
17,"[1500, 1600)",0.043795620437956206
18,"[1600, 1700)",0.043478260869565216
19,"[1700, 1800)",0.05622489959839357
20,"[1800, 1900)",0.026717557251908396
21,"[1900, 2000)",0.03636363636363636
22,"[2000, 2500)",0.03818615751789976
23,"[2500, 3000)",0.014285714285714285
24,"[3000, 3500)",0.0
25,"[3500, 4000)",0.0
26,"[4000, 5000)",0.0
27,"[5000, 7000)",0.0
