,p,M(p)
0,"[400, 450)",0.0948905109489051
1,"[450, 500)",0.07468879668049792
2,"[500, 550)",0.09090909090909091
3,"[550, 600)",0.0759493670886076
4,"[600, 650)",0.11073825503355705
5,"[650, 700)",0.11320754716981132
6,"[700, 750)",0.056338028169014086
7,"[750, 800)",0.04891304347826087
8,"[800, 850)",0.05555555555555555
9,"[850, 900)",0.07650273224043716
10,"[900, 950)",0.041379310344827586
11,"[950, 1000)",0.07228915662650602
12,"[1000, 1100)",0.076
13,"[1100, 1200)",0.03879310344827586
14,"[1200, 1300)",0.05970149253731343
15,"[1300, 1400)",0.0650887573964497
16,"[1400, 1500)",0.09302325581395349
17,"[1500, 1600)",0.02564102564102564
18,"[1600, 1700)",0.07608695652173914
19,"[1700, 1800)",0.07894736842105263
20,"[1800, 1900)",0.0641025641025641
21,"[1900, 2000)",0.03636363636363636
22,"[2000, 2500)",0.06321839080459771
23,"[2500, 3000)",0.07692307692307693
24,"[3000, 3500)",0.14285714285714285
25,"[3500, 4000)",0.0
26,"[4000, 5000)",0.0
27,"[5000, 7000)",0.0
