,p,M(p)
0,"[400, 450)",0.08928571428571429
1,"[450, 500)",0.06711409395973154
2,"[500, 550)",0.07352941176470588
3,"[550, 600)",0.09620253164556962
4,"[600, 650)",0.05665024630541872
5,"[650, 700)",0.10787172011661808
6,"[700, 750)",0.08539944903581267
7,"[750, 800)",0.05639097744360902
8,"[800, 850)",0.048582995951417005
9,"[850, 900)",0.09569377990430622
10,"[900, 950)",0.05128205128205128
11,"[950, 1000)",0.07514450867052024
12,"[1000, 1100)",0.052083333333333336
13,"[1100, 1200)",0.05241935483870968
14,"[1200, 1300)",0.06837606837606838
15,"[1300, 1400)",0.06629834254143646
16,"[1400, 1500)",0.0625
17,"[1500, 1600)",0.05063291139240506
18,"[1600, 1700)",0.026845637583892617
19,"[1700, 1800)",0.05343511450381679
20,"[1800, 1900)",0.04
21,"[1900, 2000)",0.013333333333333334
22,"[2000, 2500)",0.0398406374501992
23,"[2500, 3000)",0.10666666666666667
24,"[3000, 3500)",0.13333333333333333
25,"[3500, 4000)",0.0
26,"[4000, 5000)",0.0
27,"[5000, 7000)",0.0
