pt,eta,efficiency
"[80, 120)","[1.32, 1.44)",
"[80, 120)","[1.44, 1.56)",
"[80, 120)","[1.56, 1.68)",
"[80, 120)","[1.68, 1.8)",
"[80, 120)","[1.8, 1.92)",
"[80, 120)","[1.92, 2.04)",
"[80, 120)","[2.04, 2.16)",
"[80, 120)","[2.16, 2.28)",
"[80, 120)","[2.28, 2.4)",
"[80, 120)","[2.4, 2.52)",
"[80, 120)","[2.52, 2.64)",
"[80, 120)","[2.64, 2.76)",
"[80, 120)","[2.76, 2.88)",
"[80, 120)","[2.88, 3)",
"[120, 160)","[-3, -2.88)",
"[120, 160)","[-2.88, -2.76)",
"[120, 160)","[-2.76, -2.64)",
"[120, 160)","[-2.64, -2.52)",
"[120, 160)","[-2.52, -2.4)",
"[120, 160)","[-2.4, -2.28)",
"[120, 160)","[-2.28, -2.16)",-0.0
"[120, 160)","[-2.16, -2.04)",
"[120, 160)","[-2.04, -1.92)",
"[120, 160)","[-1.92, -1.8)",
"[120, 160)","[-1.8, -1.68)",
"[120, 160)","[-1.68, -1.56)",
"[120, 160)","[-1.56, -1.44)",
"[120, 160)","[-1.44, -1.32)",
"[120, 160)","[-1.32, -1.2)",
"[120, 160)","[-1.2, -1.08)",
"[120, 160)","[-1.08, -0.96)",
"[120, 160)","[-0.96, -0.84)",
"[120, 160)","[-0.84, -0.72)",
"[120, 160)","[-0.72, -0.6)",
"[120, 160)","[-0.6, -0.48)",
"[120, 160)","[-0.48, -0.36)",
"[120, 160)","[-0.36, -0.24)",
"[120, 160)","[-0.24, -0.12)",
"[120, 160)","[-0.12, 0)",
"[120, 160)","[0, 0.12)",
"[120, 160)","[0.12, 0.24)",
"[120, 160)","[0.24, 0.36)",
"[120, 160)","[0.36, 0.48)",
"[120, 160)","[0.48, 0.6)",
"[120, 160)","[0.6, 0.72)",
"[120, 160)","[0.72, 0.84)",
"[120, 160)","[0.84, 0.96)",
"[120, 160)","[0.96, 1.08)",
"[120, 160)","[1.08, 1.2)",
"[120, 160)","[1.2, 1.32)",
"[120, 160)","[1.32, 1.44)",
"[120, 160)","[1.44, 1.56)",
"[120, 160)","[1.56, 1.68)",
"[120, 160)","[1.68, 1.8)",
"[120, 160)","[1.8, 1.92)",
"[120, 160)","[1.92, 2.04)",
"[120, 160)","[2.04, 2.16)",
"[120, 160)","[2.16, 2.28)",
"[120, 160)","[2.28, 2.4)",
"[120, 160)","[2.4, 2.52)",
"[120, 160)","[2.52, 2.64)",
"[120, 160)","[2.64, 2.76)",
"[120, 160)","[2.76, 2.88)",
"[120, 160)","[2.88, 3)",
"[160, 200)","[-3, -2.88)",
"[160, 200)","[-2.88, -2.76)",
"[160, 200)","[-2.76, -2.64)",
"[160, 200)","[-2.64, -2.52)",
"[160, 200)","[-2.52, -2.4)",
"[160, 200)","[-2.4, -2.28)",
"[160, 200)","[-2.28, -2.16)",0.3333333333333333
"[160, 200)","[-2.16, -2.04)",0.0
"[160, 200)","[-2.04, -1.92)",0.0
"[160, 200)","[-1.92, -1.8)",0.0
"[160, 200)","[-1.8, -1.68)",0.0
"[160, 200)","[-1.68, -1.56)",-1.0
"[160, 200)","[-1.56, -1.44)",
"[160, 200)","[-1.44, -1.32)",
"[160, 200)","[-1.32, -1.2)",
"[160, 200)","[-1.2, -1.08)",
"[160, 200)","[-1.08, -0.96)",
"[160, 200)","[-0.96, -0.84)",
"[160, 200)","[-0.84, -0.72)",
"[160, 200)","[-0.72, -0.6)",
"[160, 200)","[-0.6, -0.48)",
"[160, 200)","[-0.48, -0.36)",
"[160, 200)","[-0.36, -0.24)",
"[160, 200)","[-0.24, -0.12)",
"[160, 200)","[-0.12, 0)",
"[160, 200)","[0, 0.12)",
"[160, 200)","[0.12, 0.24)",
"[160, 200)","[0.24, 0.36)",
"[160, 200)","[0.36, 0.48)",
"[160, 200)","[0.48, 0.6)",
"[160, 200)","[0.6, 0.72)",
"[160, 200)","[0.72, 0.84)",
"[160, 200)","[0.84, 0.96)",
"[160, 200)","[0.96, 1.08)",
"[160, 200)","[1.08, 1.2)",
"[160, 200)","[1.2, 1.32)",
"[160, 200)","[1.32, 1.44)",
"[160, 200)","[1.44, 1.56)",
"[160, 200)","[1.56, 1.68)",
"[160, 200)","[1.68, 1.8)",
"[160, 200)","[1.8, 1.92)",
"[160, 200)","[1.92, 2.04)",
"[160, 200)","[2.04, 2.16)",
"[160, 200)","[2.16, 2.28)",
"[160, 200)","[2.28, 2.4)",
"[160, 200)","[2.4, 2.52)",
"[160, 200)","[2.52, 2.64)",
"[160, 200)","[2.64, 2.76)",
"[160, 200)","[2.76, 2.88)",
"[160, 200)","[2.88, 3)",
"[200, 240)","[-3, -2.88)",
"[200, 240)","[-2.88, -2.76)",
"[200, 240)","[-2.76, -2.64)",
"[200, 240)","[-2.64, -2.52)",
"[200, 240)","[-2.52, -2.4)",0.0
"[200, 240)","[-2.4, -2.28)",
"[200, 240)","[-2.28, -2.16)",0.0
"[200, 240)","[-2.16, -2.04)",0.2857142857142857
"[200, 240)","[-2.04, -1.92)",-1.0
"[200, 240)","[-1.92, -1.8)",0.14285714285714285
"[200, 240)","[-1.8, -1.68)",0.3333333333333333
"[200, 240)","[-1.68, -1.56)",0.4
"[200, 240)","[-1.56, -1.44)",-inf
"[200, 240)","[-1.44, -1.32)",-0.0
"[200, 240)","[-1.32, -1.2)",1.0
"[200, 240)","[-1.2, -1.08)",
"[200, 240)","[-1.08, -0.96)",-0.0
"[200, 240)","[-0.96, -0.84)",0.0
"[200, 240)","[-0.84, -0.72)",
"[200, 240)","[-0.72, -0.6)",
"[200, 240)","[-0.6, -0.48)",
"[200, 240)","[-0.48, -0.36)",
"[200, 240)","[-0.36, -0.24)",
"[200, 240)","[-0.24, -0.12)",
"[200, 240)","[-0.12, 0)",
"[200, 240)","[0, 0.12)",
"[200, 240)","[0.12, 0.24)",
"[200, 240)","[0.24, 0.36)",
"[200, 240)","[0.36, 0.48)",
"[200, 240)","[0.48, 0.6)",
"[200, 240)","[0.6, 0.72)",
"[200, 240)","[0.72, 0.84)",
"[200, 240)","[0.84, 0.96)",
"[200, 240)","[0.96, 1.08)",
"[200, 240)","[1.08, 1.2)",
"[200, 240)","[1.2, 1.32)",
"[200, 240)","[1.32, 1.44)",
"[200, 240)","[1.44, 1.56)",
"[200, 240)","[1.56, 1.68)",
"[200, 240)","[1.68, 1.8)",
"[200, 240)","[1.8, 1.92)",
"[200, 240)","[1.92, 2.04)",
"[200, 240)","[2.04, 2.16)",
"[200, 240)","[2.16, 2.28)",
"[200, 240)","[2.28, 2.4)",
"[200, 240)","[2.4, 2.52)",
"[200, 240)","[2.52, 2.64)",
"[200, 240)","[2.64, 2.76)",
"[200, 240)","[2.76, 2.88)",
"[200, 240)","[2.88, 3)",
"[240, 280)","[-3, -2.88)",
"[240, 280)","[-2.88, -2.76)",
"[240, 280)","[-2.76, -2.64)",
"[240, 280)","[-2.64, -2.52)",
"[240, 280)","[-2.52, -2.4)",-0.0
"[240, 280)","[-2.4, -2.28)",0.0
"[240, 280)","[-2.28, -2.16)",0.1
"[240, 280)","[-2.16, -2.04)",0.3333333333333333
"[240, 280)","[-2.04, -1.92)",0.16666666666666666
"[240, 280)","[-1.92, -1.8)",-1.0
"[240, 280)","[-1.8, -1.68)",0.16666666666666666
"[240, 280)","[-1.68, -1.56)",1.0
"[240, 280)","[-1.56, -1.44)",
"[240, 280)","[-1.44, -1.32)",
"[240, 280)","[-1.32, -1.2)",
"[240, 280)","[-1.2, -1.08)",0.0
"[240, 280)","[-1.08, -0.96)",0.0
"[240, 280)","[-0.96, -0.84)",0.0
"[240, 280)","[-0.84, -0.72)",
"[240, 280)","[-0.72, -0.6)",
"[240, 280)","[-0.6, -0.48)",
"[240, 280)","[-0.48, -0.36)",
"[240, 280)","[-0.36, -0.24)",
"[240, 280)","[-0.24, -0.12)",
"[240, 280)","[-0.12, 0)",
"[240, 280)","[0, 0.12)",
"[240, 280)","[0.12, 0.24)",
"[240, 280)","[0.24, 0.36)",
"[240, 280)","[0.36, 0.48)",
"[240, 280)","[0.48, 0.6)",
"[240, 280)","[0.6, 0.72)",
"[240, 280)","[0.72, 0.84)",
"[240, 280)","[0.84, 0.96)",
"[240, 280)","[0.96, 1.08)",
"[240, 280)","[1.08, 1.2)",
"[240, 280)","[1.2, 1.32)",
"[240, 280)","[1.32, 1.44)",
"[240, 280)","[1.44, 1.56)",
"[240, 280)","[1.56, 1.68)",
"[240, 280)","[1.68, 1.8)",
"[240, 280)","[1.8, 1.92)",
"[240, 280)","[1.92, 2.04)",
"[240, 280)","[2.04, 2.16)",
"[240, 280)","[2.16, 2.28)",
"[240, 280)","[2.28, 2.4)",
"[240, 280)","[2.4, 2.52)",
"[240, 280)","[2.52, 2.64)",
"[240, 280)","[2.64, 2.76)",
"[240, 280)","[2.76, 2.88)",
"[240, 280)","[2.88, 3)",
"[280, 320)","[-3, -2.88)",
"[280, 320)","[-2.88, -2.76)",
"[280, 320)","[-2.76, -2.64)",
"[280, 320)","[-2.64, -2.52)",
"[280, 320)","[-2.52, -2.4)",
"[280, 320)","[-2.4, -2.28)",0.2
"[280, 320)","[-2.28, -2.16)",0.0
"[280, 320)","[-2.16, -2.04)",-0.3333333333333333
"[280, 320)","[-2.04, -1.92)",-0.0625
"[280, 320)","[-1.92, -1.8)",0.0
"[280, 320)","[-1.8, -1.68)",-0.25
"[280, 320)","[-1.68, -1.56)",0.0
"[280, 320)","[-1.56, -1.44)",0.125
"[280, 320)","[-1.44, -1.32)",0.0
"[280, 320)","[-1.32, -1.2)",0.0
"[280, 320)","[-1.2, -1.08)",
"[280, 320)","[-1.08, -0.96)",
"[280, 320)","[-0.96, -0.84)",
"[280, 320)","[-0.84, -0.72)",-0.0
"[280, 320)","[-0.72, -0.6)",
"[280, 320)","[-0.6, -0.48)",
"[280, 320)","[-0.48, -0.36)",
"[280, 320)","[-0.36, -0.24)",
"[280, 320)","[-0.24, -0.12)",
"[280, 320)","[-0.12, 0)",
"[280, 320)","[0, 0.12)",
"[280, 320)","[0.12, 0.24)",
"[280, 320)","[0.24, 0.36)",
"[280, 320)","[0.36, 0.48)",
"[280, 320)","[0.48, 0.6)",
"[280, 320)","[0.6, 0.72)",
"[280, 320)","[0.72, 0.84)",
"[280, 320)","[0.84, 0.96)",
"[280, 320)","[0.96, 1.08)",
"[280, 320)","[1.08, 1.2)",
"[280, 320)","[1.2, 1.32)",
"[280, 320)","[1.32, 1.44)",
"[280, 320)","[1.44, 1.56)",
"[280, 320)","[1.56, 1.68)",
"[280, 320)","[1.68, 1.8)",
"[280, 320)","[1.8, 1.92)",
"[280, 320)","[1.92, 2.04)",
"[280, 320)","[2.04, 2.16)",
"[280, 320)","[2.16, 2.28)",
"[280, 320)","[2.28, 2.4)",
"[280, 320)","[2.4, 2.52)",
"[280, 320)","[2.52, 2.64)",
"[280, 320)","[2.64, 2.76)",
"[280, 320)","[2.76, 2.88)",
"[280, 320)","[2.88, 3)",
"[320, 360)","[-3, -2.88)",
"[320, 360)","[-2.88, -2.76)",
"[320, 360)","[-2.76, -2.64)",
"[320, 360)","[-2.64, -2.52)",
"[320, 360)","[-2.52, -2.4)",0.0
"[320, 360)","[-2.4, -2.28)",0.0
"[320, 360)","[-2.28, -2.16)",0.28
"[320, 360)","[-2.16, -2.04)",0.15
"[320, 360)","[-2.04, -1.92)",0.047619047619047616
"[320, 360)","[-1.92, -1.8)",0.08
"[320, 360)","[-1.8, -1.68)",1.0
"[320, 360)","[-1.68, -1.56)",0.0
"[320, 360)","[-1.56, -1.44)",
"[320, 360)","[-1.44, -1.32)",-0.0
"[320, 360)","[-1.32, -1.2)",
"[320, 360)","[-1.2, -1.08)",-0.0
"[320, 360)","[-1.08, -0.96)",
"[320, 360)","[-0.96, -0.84)",
"[320, 360)","[-0.84, -0.72)",
"[320, 360)","[-0.72, -0.6)",
"[320, 360)","[-0.6, -0.48)",
"[320, 360)","[-0.48, -0.36)",
"[320, 360)","[-0.36, -0.24)",
"[320, 360)","[-0.24, -0.12)",
"[320, 360)","[-0.12, 0)",
"[320, 360)","[0, 0.12)",
"[320, 360)","[0.12, 0.24)",
"[320, 360)","[0.24, 0.36)",
"[320, 360)","[0.36, 0.48)",
"[320, 360)","[0.48, 0.6)",
"[320, 360)","[0.6, 0.72)",
"[320, 360)","[0.72, 0.84)",
"[320, 360)","[0.84, 0.96)",
"[320, 360)","[0.96, 1.08)",
"[320, 360)","[1.08, 1.2)",
"[320, 360)","[1.2, 1.32)",
"[320, 360)","[1.32, 1.44)",
"[320, 360)","[1.44, 1.56)",
"[320, 360)","[1.56, 1.68)",
"[320, 360)","[1.68, 1.8)",
"[320, 360)","[1.8, 1.92)",
"[320, 360)","[1.92, 2.04)",
"[320, 360)","[2.04, 2.16)",
"[320, 360)","[2.16, 2.28)",
"[320, 360)","[2.28, 2.4)",
"[320, 360)","[2.4, 2.52)",
"[320, 360)","[2.52, 2.64)",
"[320, 360)","[2.64, 2.76)",
"[320, 360)","[2.76, 2.88)",
"[320, 360)","[2.88, 3)",
"[360, 400)","[-3, -2.88)",
"[360, 400)","[-2.88, -2.76)",
"[360, 400)","[-2.76, -2.64)",
"[360, 400)","[-2.64, -2.52)",
"[360, 400)","[-2.52, -2.4)",0.0
"[360, 400)","[-2.4, -2.28)",-0.6666666666666666
"[360, 400)","[-2.28, -2.16)",0.08333333333333333
"[360, 400)","[-2.16, -2.04)",0.058823529411764705
"[360, 400)","[-2.04, -1.92)",0.23809523809523808
"[360, 400)","[-1.92, -1.8)",-0.0625
"[360, 400)","[-1.8, -1.68)",0.8571428571428571
"[360, 400)","[-1.68, -1.56)",-inf
"[360, 400)","[-1.56, -1.44)",0.0
"[360, 400)","[-1.44, -1.32)",0.0
"[360, 400)","[-1.32, -1.2)",1.0
"[360, 400)","[-1.2, -1.08)",0.0
"[360, 400)","[-1.08, -0.96)",
"[360, 400)","[-0.96, -0.84)",-0.0
"[360, 400)","[-0.84, -0.72)",0.0
"[360, 400)","[-0.72, -0.6)",
"[360, 400)","[-0.6, -0.48)",
"[360, 400)","[-0.48, -0.36)",0.0
"[360, 400)","[-0.36, -0.24)",
"[360, 400)","[-0.24, -0.12)",
"[360, 400)","[-0.12, 0)",
"[360, 400)","[0, 0.12)",
"[360, 400)","[0.12, 0.24)",
"[360, 400)","[0.24, 0.36)",
"[360, 400)","[0.36, 0.48)",
"[360, 400)","[0.48, 0.6)",
"[360, 400)","[0.6, 0.72)",
"[360, 400)","[0.72, 0.84)",
"[360, 400)","[0.84, 0.96)",
"[360, 400)","[0.96, 1.08)",
"[360, 400)","[1.08, 1.2)",
"[360, 400)","[1.2, 1.32)",
"[360, 400)","[1.32, 1.44)",
"[360, 400)","[1.44, 1.56)",
"[360, 400)","[1.56, 1.68)",
"[360, 400)","[1.68, 1.8)",
"[360, 400)","[1.8, 1.92)",
"[360, 400)","[1.92, 2.04)",
"[360, 400)","[2.04, 2.16)",
"[360, 400)","[2.16, 2.28)",
"[360, 400)","[2.28, 2.4)",
"[360, 400)","[2.4, 2.52)",
"[360, 400)","[2.52, 2.64)",
"[360, 400)","[2.64, 2.76)",
"[360, 400)","[2.76, 2.88)",
"[360, 400)","[2.88, 3)",
"[400, 440)","[-3, -2.88)",
"[400, 440)","[-2.88, -2.76)",
"[400, 440)","[-2.76, -2.64)",
"[400, 440)","[-2.64, -2.52)",-0.0
"[400, 440)","[-2.52, -2.4)",0.2
"[400, 440)","[-2.4, -2.28)",-0.125
"[400, 440)","[-2.28, -2.16)",0.2
"[400, 440)","[-2.16, -2.04)",0.075
"[400, 440)","[-2.04, -1.92)",-0.041666666666666664
"[400, 440)","[-1.92, -1.8)",-0.03125
"[400, 440)","[-1.8, -1.68)",0.0
"[400, 440)","[-1.68, -1.56)",0.1875
"[400, 440)","[-1.56, -1.44)",-0.25
"[400, 440)","[-1.44, -1.32)",1.0
"[400, 440)","[-1.32, -1.2)",0.5
"[400, 440)","[-1.2, -1.08)",0.0
"[400, 440)","[-1.08, -0.96)",0.0
"[400, 440)","[-0.96, -0.84)",0.0
"[400, 440)","[-0.84, -0.72)",0.0
"[400, 440)","[-0.72, -0.6)",
"[400, 440)","[-0.6, -0.48)",0.0
"[400, 440)","[-0.48, -0.36)",
"[400, 440)","[-0.36, -0.24)",
"[400, 440)","[-0.24, -0.12)",
"[400, 440)","[-0.12, 0)",
"[400, 440)","[0, 0.12)",
"[400, 440)","[0.12, 0.24)",
"[400, 440)","[0.24, 0.36)",
"[400, 440)","[0.36, 0.48)",
"[400, 440)","[0.48, 0.6)",
"[400, 440)","[0.6, 0.72)",
"[400, 440)","[0.72, 0.84)",
"[400, 440)","[0.84, 0.96)",
"[400, 440)","[0.96, 1.08)",
"[400, 440)","[1.08, 1.2)",
"[400, 440)","[1.2, 1.32)",
"[400, 440)","[1.32, 1.44)",
"[400, 440)","[1.44, 1.56)",
"[400, 440)","[1.56, 1.68)",
"[400, 440)","[1.68, 1.8)",
"[400, 440)","[1.8, 1.92)",
"[400, 440)","[1.92, 2.04)",
"[400, 440)","[2.04, 2.16)",
"[400, 440)","[2.16, 2.28)",
"[400, 440)","[2.28, 2.4)",
"[400, 440)","[2.4, 2.52)",
"[400, 440)","[2.52, 2.64)",
"[400, 440)","[2.64, 2.76)",
"[400, 440)","[2.76, 2.88)",
"[400, 440)","[2.88, 3)",
"[440, 480)","[-3, -2.88)",
"[440, 480)","[-2.88, -2.76)",
"[440, 480)","[-2.76, -2.64)",
"[440, 480)","[-2.64, -2.52)",0.0
"[440, 480)","[-2.52, -2.4)",0.3333333333333333
"[440, 480)","[-2.4, -2.28)",0.5714285714285714
"[440, 480)","[-2.28, -2.16)",0.3181818181818182
"[440, 480)","[-2.16, -2.04)",0.8333333333333334
"[440, 480)","[-2.04, -1.92)",0.1388888888888889
"[440, 480)","[-1.92, -1.8)",0.2978723404255319
"[440, 480)","[-1.8, -1.68)",0.0
"[440, 480)","[-1.68, -1.56)",0.18181818181818182
"[440, 480)","[-1.56, -1.44)",0.2
"[440, 480)","[-1.44, -1.32)",-0.16666666666666666
"[440, 480)","[-1.32, -1.2)",0.25
"[440, 480)","[-1.2, -1.08)",0.0
"[440, 480)","[-1.08, -0.96)",0.0
"[440, 480)","[-0.96, -0.84)",0.25
"[440, 480)","[-0.84, -0.72)",0.0
"[440, 480)","[-0.72, -0.6)",0.5
"[440, 480)","[-0.6, -0.48)",0.0
"[440, 480)","[-0.48, -0.36)",
"[440, 480)","[-0.36, -0.24)",-0.0
"[440, 480)","[-0.24, -0.12)",
"[440, 480)","[-0.12, 0)",
"[440, 480)","[0, 0.12)",
"[440, 480)","[0.12, 0.24)",
"[440, 480)","[0.24, 0.36)",
"[440, 480)","[0.36, 0.48)",
"[440, 480)","[0.48, 0.6)",
"[440, 480)","[0.6, 0.72)",
"[440, 480)","[0.72, 0.84)",
"[440, 480)","[0.84, 0.96)",
"[440, 480)","[0.96, 1.08)",
"[440, 480)","[1.08, 1.2)",
"[440, 480)","[1.2, 1.32)",
"[440, 480)","[1.32, 1.44)",
"[440, 480)","[1.44, 1.56)",
"[440, 480)","[1.56, 1.68)",
"[440, 480)","[1.68, 1.8)",
"[440, 480)","[1.8, 1.92)",
"[440, 480)","[1.92, 2.04)",
"[440, 480)","[2.04, 2.16)",
"[440, 480)","[2.16, 2.28)",
"[440, 480)","[2.28, 2.4)",
"[440, 480)","[2.4, 2.52)",
"[440, 480)","[2.52, 2.64)",
"[440, 480)","[2.64, 2.76)",
"[440, 480)","[2.76, 2.88)",
"[440, 480)","[2.88, 3)",
