pt,eta,efficiency
"[0, 200)","[-3, -2.4)",-0.0
"[0, 200)","[-2.4, -1.8)",0.0
"[0, 200)","[-1.8, -1.2)",0.0
"[0, 200)","[-1.2, -0.6)",
"[0, 200)","[-0.6, 0)",
"[0, 200)","[0, 0.6)",
"[0, 200)","[0.6, 1.2)",
"[0, 200)","[1.2, 1.8)",
"[0, 200)","[1.8, 2.4)",
"[0, 200)","[2.4, 3)",
"[200, 400)","[-3, -2.4)",0.0
"[200, 400)","[-2.4, -1.8)",0.0995260663507109
"[200, 400)","[-1.8, -1.2)",0.06060606060606061
"[200, 400)","[-1.2, -0.6)",-0.0
"[200, 400)","[-0.6, 0)",0.0
"[200, 400)","[0, 0.6)",
"[200, 400)","[0.6, 1.2)",
"[200, 400)","[1.2, 1.8)",
"[200, 400)","[1.8, 2.4)",
"[200, 400)","[2.4, 3)",
"[400, 600)","[-3, -2.4)",-0.3333333333333333
"[400, 600)","[-2.4, -1.8)",0.08012486992715921
"[400, 600)","[-1.8, -1.2)",0.10984848484848485
"[400, 600)","[-1.2, -0.6)",0.11363636363636363
"[400, 600)","[-0.6, 0)",0.5
"[400, 600)","[0, 0.6)",-0.0
"[400, 600)","[0.6, 1.2)",
"[400, 600)","[1.2, 1.8)",-0.0
"[400, 600)","[1.8, 2.4)",
"[400, 600)","[2.4, 3)",
"[600, 800)","[-3, -2.4)",0.0
"[600, 800)","[-2.4, -1.8)",0.10077519379844961
"[600, 800)","[-1.8, -1.2)",0.10780017528483786
"[600, 800)","[-1.2, -0.6)",0.15306122448979592
"[600, 800)","[-0.6, 0)",0.3
"[600, 800)","[0, 0.6)",0.0
"[600, 800)","[0.6, 1.2)",0.0
"[600, 800)","[1.2, 1.8)",
"[600, 800)","[1.8, 2.4)",0.0
"[600, 800)","[2.4, 3)",
"[800, 1000)","[-3, -2.4)",0.02857142857142857
"[800, 1000)","[-2.4, -1.8)",0.08992805755395683
"[800, 1000)","[-1.8, -1.2)",0.07751441383728379
"[800, 1000)","[-1.2, -0.6)",0.12886597938144329
"[800, 1000)","[-0.6, 0)",0.038461538461538464
"[800, 1000)","[0, 0.6)",0.3333333333333333
"[800, 1000)","[0.6, 1.2)",0.25
"[800, 1000)","[1.2, 1.8)",0.0
"[800, 1000)","[1.8, 2.4)",0.0
"[800, 1000)","[2.4, 3)",
"[1000, 1200)","[-3, -2.4)",0.15384615384615385
"[1000, 1200)","[-2.4, -1.8)",0.08285094066570188
"[1000, 1200)","[-1.8, -1.2)",0.11695501730103806
"[1000, 1200)","[-1.2, -0.6)",0.12096774193548387
"[1000, 1200)","[-0.6, 0)",0.3055555555555556
"[1000, 1200)","[0, 0.6)",0.125
"[1000, 1200)","[0.6, 1.2)",0.0
"[1000, 1200)","[1.2, 1.8)",1.0
"[1000, 1200)","[1.8, 2.4)",
"[1000, 1200)","[2.4, 3)",
"[1200, 1400)","[-3, -2.4)",-0.1111111111111111
"[1200, 1400)","[-2.4, -1.8)",0.10619469026548672
"[1200, 1400)","[-1.8, -1.2)",0.08088978766430738
"[1200, 1400)","[-1.2, -0.6)",0.12299465240641712
"[1200, 1400)","[-0.6, 0)",0.11428571428571428
"[1200, 1400)","[0, 0.6)",0.2
"[1200, 1400)","[0.6, 1.2)",
"[1200, 1400)","[1.2, 1.8)",
"[1200, 1400)","[1.8, 2.4)",-0.0
"[1200, 1400)","[2.4, 3)",
"[1400, 1600)","[-3, -2.4)",0.0
"[1400, 1600)","[-2.4, -1.8)",0.09364908503767493
"[1400, 1600)","[-1.8, -1.2)",0.139186295503212
"[1400, 1600)","[-1.2, -0.6)",0.06666666666666667
"[1400, 1600)","[-0.6, 0)",0.2
"[1400, 1600)","[0, 0.6)",0.0
"[1400, 1600)","[0.6, 1.2)",
"[1400, 1600)","[1.2, 1.8)",
"[1400, 1600)","[1.8, 2.4)",
"[1400, 1600)","[2.4, 3)",
"[1600, 1800)","[-3, -2.4)",0.0
"[1600, 1800)","[-2.4, -1.8)",0.08040201005025126
"[1600, 1800)","[-1.8, -1.2)",0.07017543859649122
"[1600, 1800)","[-1.2, -0.6)",0.16666666666666666
"[1600, 1800)","[-0.6, 0)",0.0
"[1600, 1800)","[0, 0.6)",
"[1600, 1800)","[0.6, 1.2)",
"[1600, 1800)","[1.2, 1.8)",
"[1600, 1800)","[1.8, 2.4)",
"[1600, 1800)","[2.4, 3)",
"[1800, 2000)","[-3, -2.4)",
"[1800, 2000)","[-2.4, -1.8)",-0.3333333333333333
"[1800, 2000)","[-1.8, -1.2)",0.0
"[1800, 2000)","[-1.2, -0.6)",
"[1800, 2000)","[-0.6, 0)",
"[1800, 2000)","[0, 0.6)",
"[1800, 2000)","[0.6, 1.2)",
"[1800, 2000)","[1.2, 1.8)",
"[1800, 2000)","[1.8, 2.4)",
"[1800, 2000)","[2.4, 3)",
