pt,eta,efficiency
"[400, 480)","[0.48, 0.576)",0.32142857142857145
"[400, 480)","[0.576, 0.672)",0.42857142857142855
"[400, 480)","[0.672, 0.768)",0.4444444444444444
"[400, 480)","[0.768, 0.864)",0.0
"[400, 480)","[0.864, 0.96)",0.0
"[400, 480)","[0.96, 1.056)",0.0
"[400, 480)","[1.056, 1.152)",0.0
"[400, 480)","[1.152, 1.248)",0.0
"[400, 480)","[1.248, 1.344)",0.0
"[400, 480)","[1.344, 1.44)",0.0
"[400, 480)","[1.44, 1.536)",0.0
"[400, 480)","[1.536, 1.632)",0.0
"[400, 480)","[1.632, 1.728)",0.0
"[400, 480)","[1.728, 1.824)",0.0
"[400, 480)","[1.824, 1.92)",0.0
"[400, 480)","[1.92, 2.016)",0.0
"[400, 480)","[2.016, 2.112)",0.0
"[400, 480)","[2.112, 2.208)",0.0
"[400, 480)","[2.208, 2.304)",0.0
"[400, 480)","[2.304, 2.4)",0.0
"[480, 560)","[0, 0.096)",0.28990450204638474
"[480, 560)","[0.096, 0.192)",0.3248407643312102
"[480, 560)","[0.192, 0.288)",0.29835616438356166
"[480, 560)","[0.288, 0.384)",0.285972850678733
"[480, 560)","[0.384, 0.48)",0.2857142857142857
"[480, 560)","[0.48, 0.576)",0.24615384615384617
"[480, 560)","[0.576, 0.672)",0.5
"[480, 560)","[0.672, 0.768)",0.0
"[480, 560)","[0.768, 0.864)",0.0
"[480, 560)","[0.864, 0.96)",0.5
"[480, 560)","[0.96, 1.056)",0.0
"[480, 560)","[1.056, 1.152)",0.0
"[480, 560)","[1.152, 1.248)",0.0
"[480, 560)","[1.248, 1.344)",0.0
"[480, 560)","[1.344, 1.44)",0.0
"[480, 560)","[1.44, 1.536)",0.0
"[480, 560)","[1.536, 1.632)",0.0
"[480, 560)","[1.632, 1.728)",0.0
"[480, 560)","[1.728, 1.824)",0.0
"[480, 560)","[1.824, 1.92)",0.0
"[480, 560)","[1.92, 2.016)",0.0
"[480, 560)","[2.016, 2.112)",0.0
"[480, 560)","[2.112, 2.208)",0.0
"[480, 560)","[2.208, 2.304)",0.0
"[480, 560)","[2.304, 2.4)",0.0
"[560, 640)","[0, 0.096)",0.288623595505618
"[560, 640)","[0.096, 0.192)",0.3310928013876843
"[560, 640)","[0.192, 0.288)",0.2910321489001692
"[560, 640)","[0.288, 0.384)",0.2834274952919021
"[560, 640)","[0.384, 0.48)",0.27102803738317754
"[560, 640)","[0.48, 0.576)",0.3728813559322034
"[560, 640)","[0.576, 0.672)",0.23809523809523808
"[560, 640)","[0.672, 0.768)",0.75
"[560, 640)","[0.768, 0.864)",1.0
"[560, 640)","[0.864, 0.96)",0.0
"[560, 640)","[0.96, 1.056)",0.0
"[560, 640)","[1.056, 1.152)",0.0
"[560, 640)","[1.152, 1.248)",0.0
"[560, 640)","[1.248, 1.344)",0.0
"[560, 640)","[1.344, 1.44)",0.0
"[560, 640)","[1.44, 1.536)",0.0
"[560, 640)","[1.536, 1.632)",0.0
"[560, 640)","[1.632, 1.728)",0.0
"[560, 640)","[1.728, 1.824)",0.0
"[560, 640)","[1.824, 1.92)",0.0
"[560, 640)","[1.92, 2.016)",0.0
"[560, 640)","[2.016, 2.112)",0.0
"[560, 640)","[2.112, 2.208)",0.0
"[560, 640)","[2.208, 2.304)",0.0
"[560, 640)","[2.304, 2.4)",0.0
"[640, 720)","[0, 0.096)",0.28979907264296756
"[640, 720)","[0.096, 0.192)",0.31379703534777653
"[640, 720)","[0.192, 0.288)",0.3095169221868672
"[640, 720)","[0.288, 0.384)",0.2944111776447106
"[640, 720)","[0.384, 0.48)",0.25980392156862747
"[640, 720)","[0.48, 0.576)",0.2619047619047619
"[640, 720)","[0.576, 0.672)",0.3076923076923077
"[640, 720)","[0.672, 0.768)",0.0
"[640, 720)","[0.768, 0.864)",0.5
"[640, 720)","[0.864, 0.96)",0.0
"[640, 720)","[0.96, 1.056)",0.0
"[640, 720)","[1.056, 1.152)",0.0
"[640, 720)","[1.152, 1.248)",0.0
"[640, 720)","[1.248, 1.344)",0.0
"[640, 720)","[1.344, 1.44)",0.0
"[640, 720)","[1.44, 1.536)",0.0
"[640, 720)","[1.536, 1.632)",0.0
"[640, 720)","[1.632, 1.728)",0.0
"[640, 720)","[1.728, 1.824)",0.0
"[640, 720)","[1.824, 1.92)",0.0
"[640, 720)","[1.92, 2.016)",0.0
"[640, 720)","[2.016, 2.112)",0.0
"[640, 720)","[2.112, 2.208)",0.0
"[640, 720)","[2.208, 2.304)",0.0
"[640, 720)","[2.304, 2.4)",0.0
"[720, 800)","[0, 0.096)",0.2857142857142857
"[720, 800)","[0.096, 0.192)",0.30840213695968915
"[720, 800)","[0.192, 0.288)",0.31114754098360653
"[720, 800)","[0.288, 0.384)",0.2920634920634921
"[720, 800)","[0.384, 0.48)",0.3081395348837209
"[720, 800)","[0.48, 0.576)",0.21875
"[720, 800)","[0.576, 0.672)",0.3333333333333333
"[720, 800)","[0.672, 0.768)",0.3333333333333333
"[720, 800)","[0.768, 0.864)",1.0
"[720, 800)","[0.864, 0.96)",0.0
"[720, 800)","[0.96, 1.056)",0.0
"[720, 800)","[1.056, 1.152)",0.0
"[720, 800)","[1.152, 1.248)",0.0
"[720, 800)","[1.248, 1.344)",0.0
"[720, 800)","[1.344, 1.44)",0.0
"[720, 800)","[1.44, 1.536)",0.0
"[720, 800)","[1.536, 1.632)",0.0
"[720, 800)","[1.632, 1.728)",0.0
"[720, 800)","[1.728, 1.824)",0.0
"[720, 800)","[1.824, 1.92)",0.0
"[720, 800)","[1.92, 2.016)",0.0
"[720, 800)","[2.016, 2.112)",0.0
"[720, 800)","[2.112, 2.208)",0.0
"[720, 800)","[2.208, 2.304)",0.0
"[720, 800)","[2.304, 2.4)",0.0
"[800, 880)","[0, 0.096)",0.27012025901942643
"[800, 880)","[0.096, 0.192)",0.3041487068965517
"[800, 880)","[0.192, 0.288)",0.2840630472854641
"[800, 880)","[0.288, 0.384)",0.26435406698564595
"[800, 880)","[0.384, 0.48)",0.34532374100719426
