pt,eta,efficiency
"[400, 480)","[1.056, 1.152)",0.0
"[400, 480)","[1.152, 1.248)",0.0
"[400, 480)","[1.248, 1.344)",0.0
"[400, 480)","[1.344, 1.44)",0.0
"[400, 480)","[1.44, 1.536)",0.0
"[400, 480)","[1.536, 1.632)",0.0
"[400, 480)","[1.632, 1.728)",0.0
"[400, 480)","[1.728, 1.824)",0.0
"[400, 480)","[1.824, 1.92)",0.0
"[400, 480)","[1.92, 2.016)",0.0
"[400, 480)","[2.016, 2.112)",0.0
"[400, 480)","[2.112, 2.208)",0.0
"[400, 480)","[2.208, 2.304)",0.0
"[400, 480)","[2.304, 2.4)",0.0
"[480, 560)","[0, 0.096)",0.5
"[480, 560)","[0.096, 0.192)",0.22727272727272727
"[480, 560)","[0.192, 0.288)",0.18518518518518517
"[480, 560)","[0.288, 0.384)",0.25
"[480, 560)","[0.384, 0.48)",1.0
"[480, 560)","[0.48, 0.576)",0.0
"[480, 560)","[0.576, 0.672)",0.0
"[480, 560)","[0.672, 0.768)",0.0
"[480, 560)","[0.768, 0.864)",0.0
"[480, 560)","[0.864, 0.96)",0.0
"[480, 560)","[0.96, 1.056)",0.0
"[480, 560)","[1.056, 1.152)",0.0
"[480, 560)","[1.152, 1.248)",0.0
"[480, 560)","[1.248, 1.344)",0.0
"[480, 560)","[1.344, 1.44)",0.0
"[480, 560)","[1.44, 1.536)",0.0
"[480, 560)","[1.536, 1.632)",0.0
"[480, 560)","[1.632, 1.728)",0.0
"[480, 560)","[1.728, 1.824)",0.0
"[480, 560)","[1.824, 1.92)",0.0
"[480, 560)","[1.92, 2.016)",0.0
"[480, 560)","[2.016, 2.112)",0.0
"[480, 560)","[2.112, 2.208)",0.0
"[480, 560)","[2.208, 2.304)",0.0
"[480, 560)","[2.304, 2.4)",0.0
"[560, 640)","[0, 0.096)",0.3333333333333333
"[560, 640)","[0.096, 0.192)",0.37209302325581395
"[560, 640)","[0.192, 0.288)",0.358974358974359
"[560, 640)","[0.288, 0.384)",0.3333333333333333
"[560, 640)","[0.384, 0.48)",0.0
"[560, 640)","[0.48, 0.576)",0.0
"[560, 640)","[0.576, 0.672)",0.0
"[560, 640)","[0.672, 0.768)",0.0
"[560, 640)","[0.768, 0.864)",0.0
"[560, 640)","[0.864, 0.96)",0.0
