pt,eta,efficiency
"[0, 200)","[-2.4, -1.8)",0.04455445544554455
"[0, 200)","[-1.8, -1.2)",0.038461538461538464
"[0, 200)","[-1.2, -0.6)",0.0
"[0, 200)","[-0.6, 0)",0.0
"[0, 200)","[0, 0.6)",0.0
"[0, 200)","[0.6, 1.2)",0.10256410256410256
"[0, 200)","[1.2, 1.8)",0.1152073732718894
"[0, 200)","[1.8, 2.4)",0.0
"[200, 400)","[-2.4, -1.8)",0.0
"[200, 400)","[-1.8, -1.2)",0.0
"[200, 400)","[-1.2, -0.6)",0.10020661157024793
"[200, 400)","[-0.6, 0)",0.10804597701149425
"[200, 400)","[0, 0.6)",0.16666666666666666
"[200, 400)","[0.6, 1.2)",0.0
"[200, 400)","[1.2, 1.8)",0.0
"[200, 400)","[1.8, 2.4)",0.088139281828074
"[400, 800)","[-2.4, -1.8)",0.0880503144654088
"[400, 800)","[-1.8, -1.2)",0.0625
"[400, 800)","[-1.2, -0.6)",0.0
"[400, 800)","[-0.6, 0)",0.0
"[400, 800)","[0, 0.6)",0.0953360768175583
"[400, 800)","[0.6, 1.2)",0.11956521739130435
"[400, 800)","[1.2, 1.8)",0.1875
"[400, 800)","[1.8, 2.4)",0.0
"[800, 1600)","[-2.4, -1.8)",0.0
"[800, 1600)","[-1.8, -1.2)",0.09875311720698254
"[800, 1600)","[-1.2, -0.6)",0.10786516853932585
"[800, 1600)","[-0.6, 0)",0.14285714285714285
"[800, 1600)","[0, 0.6)",0.0
"[800, 1600)","[0.6, 1.2)",0.0
"[800, 1600)","[1.2, 1.8)",0.0997624703087886
"[800, 1600)","[1.8, 2.4)",0.060109289617486336
"[1600, 3200)","[-2.4, -1.8)",0.0
"[1600, 3200)","[-1.8, -1.2)",0.0
"[1600, 3200)","[-1.2, -0.6)",0.0
"[1600, 3200)","[-0.6, 0)",0.07614213197969544
"[1600, 3200)","[0, 0.6)",0.030303030303030304
"[1600, 3200)","[0.6, 1.2)",0.0
"[1600, 3200)","[1.2, 1.8)",0.0
"[1600, 3200)","[1.8, 2.4)",0.0
