pt,eta,efficiency
"[0, 300)","[0, 0.6)",0.8489483747609943
"[0, 300)","[0.6, 1.2)",0.8971882378192745
"[0, 300)","[1.2, 2.4)",0.9172619047619047
"[300, 600)","[0, 0.6)",0.8687089715536105
"[300, 600)","[0.6, 1.2)",0.9031610637230306
"[300, 600)","[1.2, 2.4)",0.9172571428571429
"[600, 1200)","[0, 0.6)",0.8819095477386935
"[600, 1200)","[0.6, 1.2)",0.9365029715358149
"[600, 1200)","[1.2, 2.4)",0.9564684242795831
