pt,eta,efficiency
"[0, 300)","[0, 0.6)",0.8473684210526315
"[0, 300)","[0.6, 1.2)",0.9010035259018172
"[0, 300)","[1.2, 2.4)",0.9204925036898935
"[300, 600)","[0, 0.6)",0.8773903262092239
"[300, 600)","[0.6, 1.2)",0.9092217637462815
"[300, 600)","[1.2, 2.4)",0.9245758544381608
"[600, 1200)","[0, 0.6)",0.8868120456905504
"[600, 1200)","[0.6, 1.2)",0.9367174280879864
"[600, 1200)","[1.2, 2.4)",0.9638612271121105
