,p,M(p)
0,"(400.0, 500.0)",0.034653465346534656
1,"(500.0, 600.0)",0.04453176162409954
2,"(600.0, 800.0)",0.03463587921847247
3,"(800.0, 1000.0)",0.0315712187958884
4,"(1000.0, 1500.0)",0.025460455037919827
5,"(1500.0, 2000.0)",0.029233870967741934
6,"(2000.0, 3000.0)",0.029498525073746312
7,"(3000.0, 7000.0)",0.0625
8,"(7000.0, 10000.0)",0.0
